time,x,y,theta,front,left,right,danger,worker_hazard,closest_worker_dist,state
0.016,0.08,0.0,0.0,5.825608812063289,6.262446850210868,6.017415159459266,0,0,-1.0,FORWARD
0.032,0.16,0.0,0.0,5.750538909913529,6.231976819163837,5.993742697355529,0,0,-1.0,FORWARD
0.048,0.24,0.0,0.0,5.70388292089585,6.200132640676759,5.976736349829564,0,0,-1.0,FORWARD
0.064,0.32,0.0,0.0,5.579372129607238,6.16923194902302,5.922722314358641,0,0,-1.0,FORWARD
0.08,0.4,0.0,0.0,5.492703776469866,6.147059723521309,5.902758818378671,0,0,-1.0,FORWARD
0.096,0.48000000000000004,0.0,0.0,5.394322342058062,6.127351254684186,5.879977588402182,0,0,-1.0,FORWARD
0.112,0.56,0.0,0.0,5.343196771654744,6.100518611266182,5.846635467893042,0,0,-1.0,FORWARD
0.128,0.64,0.0,0.0,5.248719640022912,6.096081784766512,5.789077781047916,0,0,-1.0,FORWARD
0.14400000000000002,0.72,0.0,0.0,5.182954661807539,6.090024831045466,5.791588451351561,0,0,-1.0,FORWARD
0.16,0.7999999999999999,0.0,0.0,5.128328879679959,6.0733413327835635,5.766549422166411,0,0,-1.0,FORWARD
0.176,0.8799999999999999,0.0,0.0,5.057816644324592,6.0454160569126785,5.74453018865627,0,0,-1.0,FORWARD
0.192,0.9599999999999999,0.0,0.0,4.984846206970866,6.029655306485217,5.7204698543514505,0,0,-1.0,FORWARD
0.20800000000000002,1.0399999999999998,0.0,0.0,4.909081899885021,6.03475947578686,5.689853136857735,0,0,-1.0,FORWARD
0.224,1.1199999999999999,0.0,0.0,4.844254149300513,5.994568738652842,5.668395167674284,0,0,-1.0,FORWARD
0.24,1.2,0.0,0.0,4.738723317586513,5.986184602435981,5.660104905979047,0,0,-1.0,FORWARD
0.256,1.28,0.0,0.0,4.680377557737599,5.973307319944318,5.629281264085874,0,0,-1.0,FORWARD
0.272,1.36,0.0,0.0,4.578214530026599,5.735890680300346,5.605079158342279,0,0,-1.0,FORWARD
0.28800000000000003,1.4400000000000002,0.0,0.0,4.52227581474201,5.9865826041933925,5.606241682472064,0,0,-1.0,FORWARD
0.304,1.5200000000000002,0.0,0.0,4.473955321297018,5.935689480439221,5.57382708845603,0,0,-1.0,FORWARD
0.32,1.6000000000000003,0.0,0.0,4.38090209326215,5.92862734798507,5.554176716647328,0,0,-1.0,FORWARD
0.336,1.6800000000000004,0.0,0.0,4.320254780079342,5.892755638064329,5.5324271687107505,0,0,-1.0,FORWARD
0.352,1.7600000000000005,0.0,0.0,4.209143127317648,5.852366957260935,5.511800426545964,0,0,-1.0,FORWARD
0.368,1.8400000000000005,0.0,0.0,4.168788451265046,5.816141487901252,5.5163355185092895,0,0,-1.0,FORWARD
0.384,1.9200000000000006,0.0,0.0,4.103073597821217,5.761112239474892,5.498675982501805,0,0,-1.0,FORWARD
0.4,2.0000000000000004,0.0,0.0,4.03011361511334,5.714209530226066,5.519373033505523,0,0,-1.0,FORWARD
0.41600000000000004,2.0800000000000005,0.0,0.0,3.9710216318259204,5.682254647808794,4.331638357741878,0,0,-1.0,FORWARD
0.432,2.1600000000000006,0.0,0.0,3.870169775266343,5.639560108187398,4.11917065917279,0,0,-1.0,FORWARD
0.448,2.2400000000000007,0.0,0.0,3.8151385153908937,5.602426897119654,3.9686085628707675,0,0,-1.0,FORWARD
0.464,2.3200000000000007,0.0,0.0,3.7631020604531624,5.561544114472306,3.756939466142212,0,0,-1.0,FORWARD
0.48,2.400000000000001,0.0,0.0,3.695030186455068,5.527361866723972,3.673578685892607,0,0,-1.0,FORWARD
0.496,2.480000000000001,0.0,0.0,3.6284623058963446,5.498732868059362,3.6052999495078195,0,0,-1.0,FORWARD
0.512,2.560000000000001,0.0,0.0,3.566521506699265,5.446878125415603,3.5161492034478927,0,0,-1.0,FORWARD
0.528,2.640000000000001,0.0,0.0,3.5014481005455593,5.4120920320388874,3.460691896968796,0,0,-1.0,FORWARD
0.544,2.720000000000001,0.0,0.0,3.4315975275781025,5.367381480319547,3.35345748936359,0,0,-1.0,FORWARD
0.56,2.800000000000001,0.0,0.0,3.3825191782446855,5.333394209002086,3.3260771737265387,0,0,-1.0,FORWARD
0.5760000000000001,2.8800000000000012,0.0,0.0,3.335070161145547,5.309172508481408,3.263464519314977,0,0,-1.0,FORWARD
0.592,2.9600000000000013,0.0,0.0,3.279955471465493,5.280690266517969,3.2037039286969553,0,0,-1.0,FORWARD
0.608,3.0400000000000014,0.0,0.0,3.2041897804991577,5.260027073432956,3.1245836448701674,0,0,-1.0,FORWARD
0.624,3.1200000000000014,0.0,0.0,3.163967940988129,5.230065724638136,3.0587237848066215,0,0,-1.0,FORWARD
0.64,3.2000000000000015,0.0,0.0,3.0962870738751,5.199827356095555,3.002199687186318,0,0,-1.0,FORWARD
0.656,3.2800000000000016,0.0,0.0,3.03366708440569,5.175204808054793,2.8806826368514225,0,0,-1.0,FORWARD
0.672,3.3600000000000017,0.0,0.0,2.9620604849522043,5.152307076213492,2.8698462739755226,0,0,-1.0,FORWARD
0.6880000000000001,3.4400000000000017,0.0,0.0,2.9091025671453217,5.104822823174367,2.7957638012356165,0,0,-1.0,FORWARD
0.704,3.520000000000002,0.0,0.0,2.8749667270744292,5.098585575897764,2.746824953935442,0,0,-1.0,FORWARD
0.72,3.600000000000002,0.0,0.0,2.7990766248456143,5.076883935811493,2.664315938464265,0,0,-1.0,FORWARD
0.736,3.680000000000002,0.0,0.0,2.735295704198066,5.040576744770806,2.62064625068609,0,0,-1.0,FORWARD
